pos	morph	code	ud_feat	root
NOUN	baon,bo	pl	Number=Plur	0
NOUN,PRON	tiibi,tibi	distr	Case=Dis	0
NOUN	koma	bad.hard	Polarity=Neg	0
NOUN	_	voc	Case=Voc	0
NOUN	n	gen	Case=Gen	0
NOUN	n	erg	Case=Erg	0
NOUN,ADP	a	abs	Case=Abs	0
PRON	_	abs	Case=Abs	0
NOUN,ADP,SCONJ	no,nko,ain,ainko	all	Case=Loc	0
NOUN,SCONJ	nkonia,mea,kea,ainoa,ainkoa	Loc-lig,loc-loc,loc-loc-lig,loc-abl,loc-lig-abl,loc-loc-abl,loc-loc-lig-abl	Case=Abl	0
NOUN,PRON	ki	dat	Case=Dat	0
NOUN,VERB,ADV,SCONJ	tian	temp	Case=Tem	0
NOUN,PRON	iba	chez	Case=Ade	0
NOUN,PRON	n,no	intrss	Case=Acc	0
PRON	e,ea,en,nokon,nokona,eon,mi,mia,min,mina,mion,ja,jan,jawen,jawena,jaon,jawe	1.Sg,2.Sg,3.Sg	Number=Sing	1
PRON	no,noa,non,nona,noon,mato,maton,matona,jato,jabo,jaton,jabaon,jaboan,jaboon,jatona,jabaona,jaboana,jaboona	1.Pl,2.Pl,3.Pl	Number=Plur	1
PRON	e,ea,en,nokon,nokona,eon,no,noa,non,nona,noon	1.Sg,1.Pl	Person=1	1
PRON	mi,mia,min,mina,mion,mato,maton,matona	2.Sg,2.Pl	Person=2	1
PRON	ja,jan,jawe,jawen,jawena,jaon,jato,jabo,jaton,jabaon,jaboan,jaboon,jatona,jabaona,jaboana,jaboona	3.Sg,3.Pl	Person=3	1
PRON,DET	nokon,jawen	Pos1,Pos2,Pos3	Poss=Yes|PronType=Prs	1
PRON	n	nom	Case=Nom	0
PRON	bi	em	PronType=Emp|Reflex=Yes	0
PRON	a	acc	Case=Acc	0
PRON	bé	com	Case=Com	0
NOUN,PRON	napo,kexá,pekáo,chichó,bochiki,bebon,bebí,manaon,naman,napon,meran,patax,betan,kaman,keská,kopi,kopí,xaran,paranan	adp	Case=Loc	0
_	Ki,rin	int,int2	PronType=Int	0
CLNOM	n	erg	Case=Erg	0
CLNOM	n	gen	Case=Gen	0
CLNOM	a	abs	Case=Abs	0
